file_name,tSNE1,tSNE2,face_name,Target,Network,Iteration
sample/face_757.png,33.28156,35.40858,ConsensusHappy_Chain11_Node5.png,ConsensusHappy,11,5
sample/face_1117.png,54.350243,-32.455276,ConsensusSad_Chain23_Node52.png,ConsensusSad,23,52
sample/face_1024.png,49.000538,43.00832,ConsensusSad_Chain20_Node16.png,ConsensusSad,20,16
sample/face_140.png,-14.197291,13.490826,Ambiguity_Chain6_Node8.png,Ambiguity,6,8
sample/face_103.png,49.234745,15.816954,Ambiguity_Chain15_Node8.png,Ambiguity,15,8
sample/face_55.png,-57.764927,-16.449066,Ambiguity_Chain10_Node3.png,Ambiguity,10,3
sample/face_406.png,20.863369,-0.058075055,Ambiguity_Chain13_Node72.png,Ambiguity,13,72
sample/face_705.png,-66.76075,-7.372186,ConsensusHappy_Chain9_Node16.png,ConsensusHappy,9,16
sample/face_937.png,-57.9974,-1.3443953,ConsensusSad_Chain17_Node9.png,ConsensusSad,17,9
sample/face_193.png,37.41117,-27.276579,Ambiguity_Chain5_Node16.png,Ambiguity,5,16
sample/face_225.png,-29.050718,-8.398745,Ambiguity_Chain12_Node24.png,Ambiguity,12,24
sample/face_1094.png,47.936275,-31.515118,ConsensusSad_Chain22_Node72.png,ConsensusSad,22,72
sample/face_1147.png,49.922787,8.899508,ConsensusSad_Chain24_Node60.png,ConsensusSad,24,60
sample/face_730.png,-76.43389,-30.148844,ConsensusHappy_Chain10_Node7.png,ConsensusHappy,10,7
sample/face_261.png,-65.61171,13.134305,Ambiguity_Chain4_Node36.png,Ambiguity,4,36
sample/face_721.png,-69.59922,-14.133731,ConsensusHappy_Chain9_Node76.png,ConsensusHappy,9,76
sample/face_133.png,55.81294,-1.3673167,Ambiguity_Chain9_Node9.png,Ambiguity,9,9
sample/face_659.png,-29.786995,1.9666384,ConsensusHappy_Chain7_Node64.png,ConsensusHappy,7,64
sample/face_221.png,-11.120606,10.3217125,Ambiguity_Chain10_Node20.png,Ambiguity,10,20
sample/face_808.png,20.884266,-1.5941994,ConsensusHappy_Chain12_Node68.png,ConsensusHappy,12,68
sample/face_188.png,10.763196,-25.263117,Ambiguity_Chain8_Node13.png,Ambiguity,8,13
sample/face_237.png,-62.252083,-31.93463,Ambiguity_Chain9_Node24.png,Ambiguity,9,24
sample/face_288.png,-17.39132,-7.192959,Ambiguity_Chain8_Node36.png,Ambiguity,8,36
sample/face_720.png,-70.74702,-15.016941,ConsensusHappy_Chain9_Node72.png,ConsensusHappy,9,72
sample/face_739.png,10.16801,23.992882,ConsensusHappy_Chain10_Node32.png,ConsensusHappy,10,32
sample/face_1119.png,52.37598,19.142776,ConsensusSad_Chain23_Node60.png,ConsensusSad,23,60
sample/face_515.png,-75.66357,-19.692526,ConsensusHappy_Chain2_Node60.png,ConsensusHappy,2,60
sample/face_1000.png,49.370617,-36.295166,ConsensusSad_Chain19_Node32.png,ConsensusSad,19,32
sample/face_1011.png,40.843052,32.677166,ConsensusSad_Chain19_Node76.png,ConsensusSad,19,76
sample/face_100.png,-70.92573,-22.290691,Ambiguity_Chain3_Node6.png,Ambiguity,3,6
sample/face_589.png,-67.07744,-7.6379232,ConsensusHappy_Chain5_Node16.png,ConsensusHappy,5,16
sample/face_667.png,-55.164825,8.536946,ConsensusHappy_Chain8_Node3.png,ConsensusHappy,8,3
sample/face_415.png,-63.833313,-33.563236,Ambiguity_Chain1_Node68.png,Ambiguity,1,68
sample/face_480.png,-54.77948,6.226712,ConsensusHappy_Chain1_Node36.png,ConsensusHappy,1,36
sample/face_1167.png,47.943302,29.742504,ConsensusSad_Chain25_Node28.png,ConsensusSad,25,28
sample/face_165.png,38.910572,-33.63008,Ambiguity_Chain12_Node11.png,Ambiguity,12,11
sample/face_681.png,41.162003,-24.455898,ConsensusHappy_Chain8_Node40.png,ConsensusHappy,8,40
sample/face_573.png,-37.898968,17.496014,ConsensusHappy_Chain4_Node68.png,ConsensusHappy,4,68
sample/face_1148.png,49.963375,9.063753,ConsensusSad_Chain24_Node64.png,ConsensusSad,24,64
sample/face_460.png,37.439453,34.528454,Ambiguity_Chain15_Node80.png,Ambiguity,15,80
sample/face_1066.png,14.252556,22.524517,ConsensusSad_Chain21_Node72.png,ConsensusSad,21,72
sample/face_114.png,-15.892849,-12.441118,Ambiguity_Chain5_Node8.png,Ambiguity,5,8
sample/face_656.png,-78.7324,-26.366673,ConsensusHappy_Chain7_Node52.png,ConsensusHappy,7,52
sample/face_411.png,19.164335,-26.263187,Ambiguity_Chain16_Node68.png,Ambiguity,16,68
sample/face_244.png,22.594034,14.6351185,Ambiguity_Chain5_Node28.png,Ambiguity,5,28
sample/face_580.png,35.94026,-3.6444707,ConsensusHappy_Chain5_Node3.png,ConsensusHappy,5,3
sample/face_959.png,22.988127,-24.925974,ConsensusSad_Chain18_Node3.png,ConsensusSad,18,3
sample/face_986.png,-55.74039,-16.07701,ConsensusSad_Chain19_Node2.png,ConsensusSad,19,2
sample/face_157.png,49.132523,-17.795715,Ambiguity_Chain13_Node9.png,Ambiguity,13,9
sample/face_658.png,52.120758,0.97707474,ConsensusHappy_Chain7_Node60.png,ConsensusHappy,7,60
sample/face_1009.png,47.964935,43.73511,ConsensusSad_Chain19_Node68.png,ConsensusSad,19,68
sample/face_746.png,-55.67644,18.157867,ConsensusHappy_Chain10_Node60.png,ConsensusHappy,10,60
sample/face_609.png,-29.572512,-20.258295,ConsensusHappy_Chain6_Node3.png,ConsensusHappy,6,3
sample/face_512.png,-53.119846,-10.244238,ConsensusHappy_Chain2_Node48.png,ConsensusHappy,2,48
sample/face_854.png,-16.227448,23.179245,ConsensusHappy_Chain14_Node16.png,ConsensusHappy,14,16
sample/face_464.png,9.896867,3.914091,ConsensusHappy_Chain1_Node0.png,ConsensusHappy,1,0
sample/face_601.png,-23.60192,4.470544,ConsensusHappy_Chain5_Node64.png,ConsensusHappy,5,64
